,loss,mean_squared_error,mean_absolute_percentage_error,val_loss,val_mean_squared_error,val_mean_absolute_percentage_error,epoch
0,1331.6513039453841,1331.65185546875,100.0,491.1611898241945,491.1613464355469,100.0,0
1,1331.6513146535062,1331.6512451171875,100.0,491.1611898241945,491.1613464355469,100.0,1
2,1331.651407095102,1331.651123046875,100.0,491.1611898241945,491.1613464355469,100.0,2
3,1331.651375060002,1331.6510009765625,100.0,491.1611898241945,491.1613464355469,100.0,3
4,1331.6513033775004,1331.6512451171875,100.0,491.1611898241945,491.1613464355469,100.0,4
5,1331.651315810166,1331.6517333984375,100.0,491.1611898241945,491.1613464355469,100.0,5
6,1331.6513478053812,1331.6512451171875,100.0,491.1611898241945,491.1613464355469,100.0,6
7,1331.6513831015395,1331.6514892578125,100.0,491.1611898241945,491.1613464355469,100.0,7
8,1331.651348132057,1331.6512451171875,100.0,491.1611898241945,491.1613464355469,100.0,8
9,1331.6513291848723,1331.6510009765625,100.0,491.1611898241945,491.1613464355469,100.0,9
10,1331.651333967251,1331.6505126953125,100.0,491.1611898241945,491.1613464355469,100.0,10
11,1331.6513210616658,1331.6514892578125,100.0,491.1611898241945,491.1613464355469,100.0,11
12,1331.6514324789352,1331.6513671875,100.0,491.1611898241945,491.1613464355469,100.0,12
13,1331.6514013706822,1331.6517333984375,100.0,491.1611898241945,491.1613464355469,100.0,13
14,1331.6514756475956,1331.6513671875,100.0,491.1611898241945,491.1613464355469,100.0,14
15,1331.6513590111138,1331.6513671875,100.0,491.1611898241945,491.1613464355469,100.0,15
16,1331.6514282796345,1331.65087890625,100.0,491.1611898241945,491.1613464355469,100.0,16
17,1331.6513763610064,1331.6512451171875,100.0,491.1611898241945,491.1613464355469,100.0,17
18,1331.6513785793618,1331.6505126953125,100.0,491.1611898241945,491.1613464355469,100.0,18
19,1331.6513218669593,1331.6519775390625,100.0,491.1611898241945,491.1613464355469,100.0,19
20,1331.6513884366077,1331.6512451171875,100.0,491.1611898241945,491.1613464355469,100.0,20
21,1331.651309373517,1331.65087890625,100.0,491.1611898241945,491.1613464355469,100.0,21
22,1331.6513365958501,1331.651123046875,100.0,491.1611898241945,491.1613464355469,100.0,22
23,1331.6513193333242,1331.65234375,100.0,491.1611898241945,491.1613464355469,100.0,23
24,1331.6513886835137,1331.6513671875,100.0,491.1611898241945,491.1613464355469,100.0,24
25,1331.6514045462727,1331.6512451171875,100.0,491.1611898241945,491.1613464355469,100.0,25
26,1331.6514136779952,1331.6512451171875,100.0,491.1611898241945,491.1613464355469,100.0,26
27,1331.65136674117,1331.6517333984375,100.0,491.1611898241945,491.1613464355469,100.0,27
28,1331.6513873179338,1331.6512451171875,100.0,491.1611898241945,491.1613464355469,100.0,28
29,1331.651314966887,1331.65185546875,100.0,491.1611898241945,491.1613464355469,100.0,29
30,1331.6513500997075,1331.6505126953125,100.0,491.1611898241945,491.1613464355469,100.0,30
31,1331.6513297280655,1331.6512451171875,100.0,491.1611898241945,491.1613464355469,100.0,31
32,1331.6513425045,1331.651123046875,100.0,491.1611898241945,491.1613464355469,100.0,32
33,1331.6513608553114,1331.652099609375,100.0,491.1611898241945,491.1613464355469,100.0,33
34,1331.6513445196324,1331.6514892578125,100.0,491.1611898241945,491.1613464355469,100.0,34
35,1331.6513879332995,1331.6513671875,100.0,491.1611898241945,491.1613464355469,100.0,35
36,1331.6513859447568,1331.651611328125,100.0,491.1611898241945,491.1613464355469,100.0,36
37,1331.6513803494877,1331.651123046875,100.0,491.1611898241945,491.1613464355469,100.0,37
38,1331.6513280586014,1331.6517333984375,100.0,491.1611898241945,491.1613464355469,100.0,38
39,1331.6513904992223,1331.6512451171875,100.0,491.1611898241945,491.1613464355469,100.0,39
40,1331.6513456478028,1331.651123046875,100.0,491.1611898241945,491.1613464355469,100.0,40
41,1331.6513890329807,1331.6513671875,100.0,491.1611898241945,491.1613464355469,100.0,41
42,1331.6513390782047,1331.6514892578125,100.0,491.1611898241945,491.1613464355469,100.0,42
43,1331.651366693688,1331.6513671875,100.0,491.1611898241945,491.1613464355469,100.0,43
44,1331.6513637251185,1331.65087890625,100.0,491.1611898241945,491.1613464355469,100.0,44
45,1331.65139969552,1331.6519775390625,100.0,491.1611898241945,491.1613464355469,100.0,45
46,1331.651420211507,1331.6514892578125,100.0,491.1611898241945,491.1613464355469,100.0,46
47,1331.6513524529114,1331.6522216796875,100.0,491.1611898241945,491.1613464355469,100.0,47
48,1331.6513610528361,1331.6505126953125,100.0,491.1611898241945,491.1613464355469,100.0,48
49,1331.6514041094392,1331.651611328125,100.0,491.1611898241945,491.1613464355469,100.0,49
50,1331.6514068785846,1331.6514892578125,100.0,491.1611898241945,491.1613464355469,100.0,50
51,1331.6513276255662,1331.651123046875,100.0,491.1611898241945,491.1613464355469,100.0,51
52,1331.651392747966,1331.6514892578125,100.0,491.1611898241945,491.1613464355469,100.0,52
53,1331.6513743496726,1331.6517333984375,100.0,491.1611898241945,491.1613464355469,100.0,53
54,1331.651390723337,1331.6517333984375,100.0,491.1611898241945,491.1613464355469,100.0,54
55,1331.651309229172,1331.651611328125,100.0,491.1611898241945,491.1613464355469,100.0,55
56,1331.6513849115502,1331.6510009765625,100.0,491.1611898241945,491.1613464355469,100.0,56
57,1331.6514228439046,1331.6507568359375,100.0,491.1611898241945,491.1613464355469,100.0,57
58,1331.6513661694876,1331.6510009765625,100.0,491.1611898241945,491.1613464355469,100.0,58
59,1331.6513616226193,1331.6510009765625,100.0,491.1611898241945,491.1613464355469,100.0,59
60,1331.6514182780434,1331.65185546875,100.0,491.1611898241945,491.1613464355469,100.0,60
61,1331.6512987375675,1331.6512451171875,100.0,491.1611898241945,491.1613464355469,100.0,61
62,1331.651360103198,1331.6512451171875,100.0,491.1611898241945,491.1613464355469,100.0,62
63,1331.6512872108572,1331.65087890625,100.0,491.1611898241945,491.1613464355469,100.0,63
64,1331.6513818575133,1331.651611328125,100.0,491.1611898241945,491.1613464355469,100.0,64
65,1331.6513369092308,1331.6512451171875,100.0,491.1611898241945,491.1613464355469,100.0,65
66,1331.6512859554352,1331.6507568359375,100.0,491.1611898241945,491.1613464355469,100.0,66
67,1331.6513994809018,1331.6514892578125,100.0,491.1611898241945,491.1613464355469,100.0,67
68,1331.6513560824292,1331.6510009765625,100.0,491.1611898241945,491.1613464355469,100.0,68
69,1331.6513271023155,1331.6519775390625,100.0,491.1611898241945,491.1613464355469,100.0,69
70,1331.6513681295412,1331.6517333984375,100.0,491.1611898241945,491.1613464355469,100.0,70
71,1331.6513283567876,1331.6513671875,100.0,491.1611898241945,491.1613464355469,100.0,71
72,1331.651396153369,1331.6513671875,100.0,491.1611898241945,491.1613464355469,100.0,72
73,1331.6513953461765,1331.6512451171875,100.0,491.1611898241945,491.1613464355469,100.0,73
74,1331.651375939367,1331.6513671875,100.0,491.1611898241945,491.1613464355469,100.0,74
75,1331.6513384438463,1331.6507568359375,100.0,491.1611898241945,491.1613464355469,100.0,75
76,1331.651337974725,1331.65234375,100.0,491.1611898241945,491.1613464355469,100.0,76
77,1331.6513721674035,1331.6513671875,100.0,491.1611898241945,491.1613464355469,100.0,77
78,1331.6513293178218,1331.65087890625,100.0,491.1611898241945,491.1613464355469,100.0,78
79,1331.651351469086,1331.6517333984375,100.0,491.1611898241945,491.1613464355469,100.0,79
80,1331.6513102281915,1331.65185546875,100.0,491.1611898241945,491.1613464355469,100.0,80
81,1331.6513928543254,1331.6514892578125,100.0,491.1611898241945,491.1613464355469,100.0,81
82,1331.6513240273864,1331.6513671875,100.0,491.1611898241945,491.1613464355469,100.0,82
83,1331.6514232256593,1331.6510009765625,100.0,491.1611898241945,491.1613464355469,100.0,83
84,1331.6513554803585,1331.65185546875,100.0,491.1611898241945,491.1613464355469,100.0,84
85,1331.6513855345129,1331.651123046875,100.0,491.1611898241945,491.1613464355469,100.0,85
86,1331.6513684885044,1331.6510009765625,100.0,491.1611898241945,491.1613464355469,100.0,86
87,1331.6513440657054,1331.651123046875,100.0,491.1611898241945,491.1613464355469,100.0,87
88,1331.6513741654426,1331.650390625,100.0,491.1611898241945,491.1613464355469,100.0,88
89,1331.651341771379,1331.6505126953125,100.0,491.1611898241945,491.1613464355469,100.0,89
90,1331.651392466873,1331.650634765625,100.0,491.1611898241945,491.1613464355469,100.0,90
91,1331.6514105043038,1331.651611328125,100.0,491.1611898241945,491.1613464355469,100.0,91
92,1331.6513389528525,1331.6510009765625,100.0,491.1611898241945,491.1613464355469,100.0,92
93,1331.6513692045319,1331.6512451171875,100.0,491.1611898241945,491.1613464355469,100.0,93
94,1331.651348008604,1331.6513671875,100.0,491.1611898241945,491.1613464355469,100.0,94
95,1331.6514225343226,1331.65234375,100.0,491.1611898241945,491.1613464355469,100.0,95
96,1331.6513767940417,1331.6517333984375,100.0,491.1611898241945,491.1613464355469,100.0,96
97,1331.6513620499566,1331.6517333984375,100.0,491.1611898241945,491.1613464355469,100.0,97
98,1331.6513222923973,1331.6517333984375,100.0,491.1611898241945,491.1613464355469,100.0,98
99,1331.6514128575077,1331.65185546875,100.0,491.1611898241945,491.1613464355469,100.0,99
